id,name,type,age,committee,representation,position,duration
th,Thomas Hitzlsperger,0,1,1,"3, 6, 7",VV,2019
os,Oliver Schraft,0,3,1,3,MG,2015
cv,Claus Vogt,0,2,2,4,ARV,2019
wp,Wilfried Porth,0,5,2,"1, 2, 5",ARS,2014
ra,Rainer Adrion,0,6,2,8,ARM,2020
hj,Hartmut Jenner,0,4,2,8,ARS,2014
fr,Franz Reiner,0,3,2,8,ARM,2016
bs,Bertram Sugg,0,4,2,8,ARM,2017
vfbev,VfB Stuttgart 1893 e.V.,1,n/a,n/a,n/a,n/a,n/a
vfbag,VfB Stuttgart 1893 AG,1,n/a,n/a,n/a,n/a,n/a
fcg,Fanclub Courage Gerlingen,1,n/a,n/a,n/a,n/a,n/a
nlz,Nachwuchsleistungszentrum,1,n/a,n/a,n/a,n/a,n/a
dag,Daimler AG,1,n/a,n/a,n/a,n/a,n/a
dfsc,Daimler Financial Services Canada,1,n/a,n/a,n/a,n/a,n/a
dmag,Daimler Mobility AG,1,n/a,n/a,n/a,n/a,n/a
rb,Robert Bosch GmbH,1,n/a,n/a,n/a,n/a,n/a
ak,Alfred Kaercher SE und Co. KG,1,n/a,n/a,n/a,n/a,n/a
akf,Alfred-Kaercher-F̦rderstiftung,1,n/a,n/a,n/a,n/a,n/a
mbb,Mercedes-Benz Bank,1,n/a,n/a,n/a,n/a,n/a
mbf,Mercedes-Benz Financial Services USA,1,n/a,n/a,n/a,n/a,n/a
kc,Kommission Clubmedien DFL,1,n/a,n/a,n/a,n/a,n/a
ig,Intesia Group Holding GmbH,1,n/a,n/a,n/a,n/a,n/a
fcpf,FC PlayFair e.V.,1,n/a,n/a,n/a,n/a,n/a
hms,Hanns Martin Schleyer-Stiftung,1,n/a,n/a,n/a,n/a,n/a
swm,Suedwestmetall,1,n/a,n/a,n/a,n/a,n/a